Determiner,Agreement,Possessor Features,Number,Speaker,Sentence,Origin,BirthYear,Gender,Race
to,No,2sg,pl,KS,"Vyè moun-ye te konnen di ye sa pou fe ye pè, pou fe ye BEHAVE, e ye te di ye te gen fifole AND si to pa BEHAVE ye gen trape twa aswa-la, ye gen ache <DET>to zorte-ye</DET>, e tou-ki-chòj e to konnen piti-ye te konnen kouri on lit-la e ye a krouvi, si li te cho o pa cho ye te konnen krouvi ye-menm, ye te pè fifole-ye te gen vini.",False_River,1938,Male,Black
mon,No,1sg,sg,KS,"Don ton SLAVERY ye te kònè di ye ye te kònè tere en SLAVE avèk larjon, Yenki-ye te e vini ye te p ole Yenki-ye pron larjon-la, e SLAVE-la, (i te) konnen GUARD larjon-la, e <DET>mon gran-momon</DET> te kwa zafè-sa-la, i te kwa ka moun-ye te pa bon, Yenki, tou moun-ye te pa bon, tou-moun-ye, si ye te pa gen en bon kè, fifole-yè te konnen MOVE larjan-la, fou li pli fò, kè li te ....",False_River,1938,Male,Black
mo,No,1sg,sg,KS,"Men <DET>mo nonk</DET>, mo (sir i) kònen le zafè pou spèrik.",False_River,1938,Male,Black
mo,No,1sg,sg,KS,"<DET>Mo popa</DET> si li te e viv astè-la, li li te ka di twa plen andan zafè-sa-ye, de vye fas la.",False_River,1938,Male,Black
mon,No,1sg,sg,KS,"Mè, <DET>mon nonk</DET>, li pa konnè tou de fas konm <DET>mo popa</DET> te kònè.",False_River,1938,Male,Black
mon,No,1sg,sg,KS,"Ye te gen -- <DET>mon nonk</DET> di mon zafè-sa-la -- ye gen en bal tonmbou, (y ena) juch avek en DRUM.",False_River,1938,Male,Black
so,No,3sg,sg,KS,"E ka ye fe ganmbo-la ye e monje, e piti te pa ka vini andan-la, si en piti vini anndan ye te taye li e fe li kouri bæk dan <DET>so lit</DET>, i se.",False_River,1938,Male,Black
ye,No,3pl,sg,KS,Avek <DET>ye lamen</DET>. ...,False_River,1938,Male,Black
mon,Yes,1sg,sg,KS,"I se ben ka ye ye tou--- tou--- li avek <DET>mon popa</DET> ye tou te piti, i se moun-sa-ye te REALLY konnen ENJOY ye-menm ka ye te konni zafè-sa i se moun pa konnen ENJOY ye-menm astè, i se, vyè moun-ye te konnen ENJOY.",False_River,1938,Male,Black
so,No,3sg,sg,KS,"Men te jis pou wa ... ki-moun te mèyè, avek <DET>so pwen</DET>.",False_River,1938,Male,Black
