Determiner,Agreement,Possessor Features,Number,Speaker,Sentence,Origin,BirthYear,Gender,Race
ye,No,3pl,pl,YC,Ye vòye <DET>ye piti-ye</DET> lekòl--- mo mo kour lekòl mo te katòz on.,Ventress,1909,Female,Black
mo,No,1sg,sg,YC,De fwa mo te bije STEAL <DET>mo TIME OFF</DET> pou galope pou kouri kote--- mo te lenm kou lekòl.,Ventress,1909,Female,Black
so,No,3sg,sg,JL,Pou <DET>so fonmiy</DET> e pou lòt moun.,Ventress,1913,Female,Black
ye,No,3pl,sg,YC,"Aben, e--- ena dan vye mounn-ye, mo pa konnen, ye te lenm pa <DET>ye piti</DET> kou lekòl.",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"'<DET>Mo ti-fiy</DET> e <DET>mo ti-garson</DET>, e le ti-garson ansanm, mo p <VERB>ole</VERB> ye kou lekòl konm sa.'",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"'<DET>Mo ti-fiy</DET> e <DET>mo ti-garson</DET>, e le ti-garson ansanm, mo p <VERB>ole</VERB> ye kou lekòl konm sa.'",Ventress,1909,Female,Black
mo,No,1sg,sg,YC,"Sa-fe, ina dan nouzòt, nou te nèf, piti <DET>mo monmon</DET> te gen.",Ventress,1909,Female,Black
mo,No,1sg,sg,JL,Nou te vwazen apre li marye ave <DET>mo prèmyè kouzen</DET>.,Ventress,1913,Female,Black
to,No,2sg,sg,JL,Met li kote <DET>to labouch</DET>.,Ventress,1913,Female,Black
mo,No,1sg,sg,JL,"Nou te, nou te vwazen apre li marye ave <DET>mo prèmyen kouzen</DET>.",Ventress,1913,Female,Black
no,No,1pl,sg,JL,"E la nou te vwazen, nou èlve tou <DET>no piti-ye</DET> ansanm konm sè e frè.",Ventress,1913,Female,Black
to,No,2sg,sg,JL,Mèt li kote <DET>to labouch</DET>.,Ventress,1913,Female,Black
mokenn,No,1sg,sg,YC,"... Mon mo COME UP IN MY LIFE, dan <DET>motchèn lavi</DET>, IT WAS TOUGH!",Ventress,1909,Female,Black
ye,No,3pl,pl,YC,"E ka vye f--- mounn-ye se kou travay, ye se prann <DET>ye piti-ye</DET>, ye se kite kote lòt vwazen-la ki <VERB>va</VERB> pa travay.",Ventress,1909,Female,Black
sokenn,No,3sg,sg,YC,"La, monmon <DET>sotchenn mari</DET>",Ventress,1909,Female,Black
noukenn,No,1pl,sg,YC,konm èlve nouzòt paseu <DET>noutchenn monmon</DET> te gen travay.,Ventress,1909,Female,Black
sokenn,No,3sg,sg,YC,Li se dòn li <DET>sotchenn BREAST</DET>.,Ventress,1909,Female,Black
