Verb,Short,Stative,Speaker,Sentence,Origin,BirthYear,Gender,Race,Citation
konpron,Yes,Yes,AS,"Lèskalye tou te (BOX), to <VERB>konpron</VERB>.",Parlange,1903,Male,Black,konpronn
fouti,NA,Yes,AS,"Li pa (...), li di 'DOGGONE, pa <VERB>fouti</VERB> kache mo wiski si ye <VERB>pe</VERB> trouve li!' ...",Parlange,1903,Male,Black,fouti
pe,Yes,Yes,AS,"Li pa (...), li di 'DOGGONE, pa <VERB>fouti</VERB> kache mo wiski si ye <VERB>pe</VERB> trouve li!' ...",Parlange,1903,Male,Black,kapab
ole,No,Yes,AS,"E, ye fanm di, 'GOD DOGGONE, zòt p <VERB>ole</VERB>--- zo <VERB>ret</VERB> dan souloun e tou-ki-cho.'",Parlange,1903,Male,Black,ole
ka,Yes,Yes,AS,"E la, fanm-ye di, 'Astè-la zo pa <VERB>ka</VERB> kouri.'",Parlange,1903,Male,Black,kapab
konmpran,Yes,Yes,AS,"E tou boug-ye te e fe wiski, ènan ki te e charje trant pyas pou--- to pran konm O., te e fe pou M., to <VERB>konmpran</VERB>?",Parlange,1903,Male,Black,konpronn
rapel,Yes,Yes,DG,Vou <VERB>rapel</VERB> vyeu prizon dèryè la?,New_Roads,1925,Male,Creole_of_color,rapele
rapel,Yes,Yes,AS,"Uhuh, mo <VERB>rapel</VERB> sa.",Parlange,1903,Male,Black,rapele
ole,No,Yes,DG,"Li di, Tan L. i di 'La mærd on F. e B., sa to fe avè djòg wiski-la, K., m <VERB>ole</VERB> en file!'",New_Roads,1925,Male,Creole_of_color,ole
vo,NA,Yes,AS,"Li di, 'To <VERB>vo</VERB> pè en foud.' ...",Parlange,1903,Male,Black,vo
ka,Yes,Yes,AS,"La li fini, i di, 'To <VERB>ka</VERB> donn li monje ka l a leve. To ka (...) li dèmen.'",Parlange,1903,Male,Black,kapab
